,CW1_PNEUMATIC_BRAKE_ACTIVE,CW1_COMPRESSOR_RUNNING,CW1_MAIN_RESERVOIR_PRESSURE,CW2_COMPRESSOR_RUNNING,CW2_PNEUMATIC_BRAKE_ACTIVE,TRAIN_SPEED_ACTUAL
CW1_PNEUMATIC_BRAKE_ACTIVE,1.0,-0.25398684106449454,0.061299662615394206,-0.2803272233358804,0.9849207170746946,-0.8261318780804257
CW1_COMPRESSOR_RUNNING,-0.25398684106449454,1.0,-0.12730799690321387,-0.19073891481765726,-0.25625692044820564,0.22393397793895353
CW1_MAIN_RESERVOIR_PRESSURE,0.061299662615394206,-0.12730799690321387,1.0,-0.16048779817358044,0.059673247263498576,-0.06473612277550067
CW2_COMPRESSOR_RUNNING,-0.2803272233358804,-0.19073891481765726,-0.16048779817358044,1.0,-0.28235871933192885,0.25195046694533935
CW2_PNEUMATIC_BRAKE_ACTIVE,0.9849207170746946,-0.25625692044820564,0.059673247263498576,-0.28235871933192885,1.0,-0.8283187098229724
TRAIN_SPEED_ACTUAL,-0.8261318780804257,0.22393397793895353,-0.06473612277550067,0.25195046694533935,-0.8283187098229724,1.0
