,CW1_PNEUMATIC_BRAKE_ACTIVE,CW1_COMPRESSOR_RUNNING,CW1_MAIN_RESERVOIR_PRESSURE,CW2_COMPRESSOR_RUNNING,CW2_PNEUMATIC_BRAKE_ACTIVE,TRAIN_SPEED_ACTUAL
CW1_PNEUMATIC_BRAKE_ACTIVE,1.0,-0.08630503063414334,0.08824589257378403,-0.15303112530182345,0.9711257064241546,-0.7977935145150932
CW1_COMPRESSOR_RUNNING,-0.08630503063414334,1.0,0.25946500166870023,-0.4761650808968838,-0.08483257111192566,0.07541891961478128
CW1_MAIN_RESERVOIR_PRESSURE,0.08824589257378403,0.25946500166870023,1.0,-0.43201577189105983,0.08656644754188467,-0.08190630884143495
CW2_COMPRESSOR_RUNNING,-0.15303112530182345,-0.4761650808968838,-0.43201577189105983,1.0,-0.15761798334769822,0.12859992773081969
CW2_PNEUMATIC_BRAKE_ACTIVE,0.9711257064241546,-0.08483257111192566,0.08656644754188467,-0.15761798334769822,1.0,-0.8011100446476729
TRAIN_SPEED_ACTUAL,-0.7977935145150932,0.07541891961478128,-0.08190630884143495,0.12859992773081969,-0.8011100446476729,1.0
