,CW1_PNEUMATIC_BRAKE_ACTIVE,CW1_COMPRESSOR_RUNNING,CW1_MAIN_RESERVOIR_PRESSURE,CW2_COMPRESSOR_RUNNING,CW2_PNEUMATIC_BRAKE_ACTIVE,TRAIN_SPEED_ACTUAL
CW1_PNEUMATIC_BRAKE_ACTIVE,1.0,-0.08630503063414319,0.11773374476562008,-0.15303112530182558,0.9711257064241582,-0.8854491645397676
CW1_COMPRESSOR_RUNNING,-0.08630503063414319,1.0,0.31150573931130154,-0.47616508089687376,-0.08483257111192352,0.08942943595512677
CW1_MAIN_RESERVOIR_PRESSURE,0.11773374476562008,0.31150573931130154,1.0,-0.45719804259231,0.11595609381540052,-0.12618083735824243
CW2_COMPRESSOR_RUNNING,-0.15303112530182558,-0.47616508089687376,-0.45719804259231,1.0,-0.15761798334770016,0.15515041782938438
CW2_PNEUMATIC_BRAKE_ACTIVE,0.9711257064241582,-0.08483257111192352,0.11595609381540052,-0.15761798334770016,1.0,-0.8930902352718956
TRAIN_SPEED_ACTUAL,-0.8854491645397676,0.08942943595512677,-0.12618083735824243,0.15515041782938438,-0.8930902352718956,1.0
