hour_bin,cw1,cw2
2025-02-17 01:00:00+01:00,0.13261997405966278,0.0
2025-02-17 02:00:00+01:00,0.12507254788160185,0.0
2025-02-17 03:00:00+01:00,0.12267981438515081,0.0
2025-02-17 04:00:00+01:00,0.16801470588235295,0.07757352941176471
2025-02-17 05:00:00+01:00,0.44009283434870905,0.34551784160139254
2025-02-17 06:00:00+01:00,0.40063823614737454,0.39483608935306064
2025-02-17 07:00:00+01:00,0.5271250362634174,0.4679431389614157
2025-02-17 08:00:00+01:00,0.39947780678851175,0.508558166521613
2025-02-17 09:00:00+01:00,0.4207777132907719,0.4941961694718514
2025-02-17 10:00:00+01:00,0.2752240531945649,0.5409077768141082
2025-02-17 11:00:00+01:00,0.30577313606034234,0.4818682912677691
2025-02-17 12:00:00+01:00,0.3301421525964607,0.5108790252393386
2025-02-17 13:00:00+01:00,0.43313025819553236,0.45314766463591527
2025-02-17 14:00:00+01:00,0.4308093994778068,0.40063823614737454
2025-02-17 15:00:00+01:00,0.44850594720046416,0.45459820133449375
2025-02-17 16:00:00+01:00,0.46952988972722,0.3493905977945444
2025-02-17 17:00:00+01:00,0.5029002320185615,0.47215777262180975
2025-02-17 18:00:00+01:00,0.37597911227154046,0.3289817232375979
2025-02-17 19:00:00+01:00,0.1707000864304235,0.72990492653414
2025-02-18 14:00:00+01:00,0.18037135278514588,0.34040671971706454
2025-02-18 15:00:00+01:00,0.0,0.09331436699857752
2025-02-18 16:00:00+01:00,0.0,0.09385665529010238
2025-02-18 17:00:00+01:00,0.11294452347083926,0.0
2025-02-18 18:00:00+01:00,0.22077028885832187,0.0
2025-02-18 19:00:00+01:00,0.46895826025955806,0.43177832339529987
2025-02-18 22:00:00+01:00,0.15726495726495726,0.7316239316239316
2025-02-19 02:00:00+01:00,0.9948805460750854,1.0
2025-02-20 07:00:00+01:00,0.28718703976435933,0.39224349533627884
2025-02-20 08:00:00+01:00,0.054748062015503876,0.0
2025-02-20 10:00:00+01:00,0.7954545454545454,0.7954545454545454
2025-02-20 11:00:00+01:00,0.10758100031456433,0.16231519345706197
2025-02-20 12:00:00+01:00,0.13996138996138996,0.5424710424710425
2025-02-20 13:00:00+01:00,0.029003783102143757,0.0
2025-02-20 14:00:00+01:00,0.7303754266211604,0.1945392491467577
2025-02-20 15:00:00+01:00,0.10822998872604284,0.4137542277339346
2025-02-20 16:00:00+01:00,0.017810973858086755,0.10571674806090205
2025-02-20 17:00:00+01:00,0.08674928503336511,0.0
2025-02-20 18:00:00+01:00,0.116382036685642,0.0
2025-02-20 19:00:00+01:00,0.0617361328737073,0.0
2025-02-20 20:00:00+01:00,0.08105590062111802,0.0
2025-02-20 21:00:00+01:00,0.06642259414225941,0.09780334728033473
2025-02-21 06:00:00+01:00,0.30905752753977966,0.22735618115055078
2025-02-21 07:00:00+01:00,0.5696129404968227,0.1172732524552282
2025-02-21 08:00:00+01:00,0.37254901960784315,0.508789722785666
2025-02-21 09:00:00+01:00,0.0,0.8207343412526998
2025-02-21 11:00:00+01:00,0.33487179487179486,0.11641025641025642
2025-02-21 12:00:00+01:00,0.07681365576102418,0.0
2025-02-21 13:00:00+01:00,0.0748221906116643,0.0
2025-02-21 14:00:00+01:00,0.13228120516499284,0.13773314203730272
2025-02-21 15:00:00+01:00,0.45799536500579374,0.06575898030127462
2025-02-21 16:00:00+01:00,0.4004861744150714,0.4378608325736858
2025-02-21 17:00:00+01:00,0.37988997555012227,0.4990831295843521
2025-02-21 18:00:00+01:00,0.36285032796660704,0.4496124031007752
2025-02-21 19:00:00+01:00,0.3501129396579542,0.3639883833494676
2025-02-21 20:00:00+01:00,1.0,0.0
2025-02-21 22:00:00+01:00,0.15641334941696824,0.1334941696823482
2025-02-21 23:00:00+01:00,0.07679180887372014,0.0
2025-02-22 00:00:00+01:00,0.0,0.0
2025-02-22 01:00:00+01:00,0.07679180887372014,0.0
2025-02-22 02:00:00+01:00,0.08821855435401252,0.0
2025-02-22 03:00:00+01:00,0.14765291607396872,0.0
2025-02-22 04:00:00+01:00,0.08018197327267558,0.0
2025-02-22 05:00:00+01:00,0.3168664133294358,0.6328558900906168
2025-02-22 06:00:00+01:00,0.33469004383218537,0.45867251095804634
2025-02-22 07:00:00+01:00,0.3642684401451028,0.3612454655380895
2025-02-22 08:00:00+01:00,0.3756923076923077,0.3323076923076923
2025-02-22 09:00:00+01:00,0.3668763102725367,0.5208146151542378
2025-02-22 10:00:00+01:00,0.44067278287461775,0.39418960244648316
2025-02-22 11:00:00+01:00,0.4656068480586976,0.3106083766432284
2025-02-22 12:00:00+01:00,0.5152755905511811,0.39496062992125985
2025-02-22 13:00:00+01:00,0.421172453044963,0.31274900398406374
2025-02-22 14:00:00+01:00,0.4756756756756757,0.3530583214793741
