,CW1_PNEUMATIC_BRAKE_ACTIVE,CW1_COMPRESSOR_RUNNING,CW1_MAIN_RESERVOIR_PRESSURE,CW2_COMPRESSOR_RUNNING,CW2_PNEUMATIC_BRAKE_ACTIVE,TRAIN_SPEED_ACTUAL
CW1_PNEUMATIC_BRAKE_ACTIVE,1.0,-0.2539868410644927,0.09147782803885847,-0.28032722333587273,0.984920717074713,-0.9314281259115292
CW1_COMPRESSOR_RUNNING,-0.2539868410644927,1.0,-0.09390041581059218,-0.19073891481765426,-0.2562569204482111,0.2718857343532826
CW1_MAIN_RESERVOIR_PRESSURE,0.09147782803885847,-0.09390041581059218,1.0,-0.10860680273398415,0.08960899370992659,-0.10454034288884256
CW2_COMPRESSOR_RUNNING,-0.28032722333587273,-0.19073891481765426,-0.10860680273398415,1.0,-0.28235871933193407,0.30142393193027656
CW2_PNEUMATIC_BRAKE_ACTIVE,0.984920717074713,-0.2562569204482111,0.08960899370992659,-0.28235871933193407,1.0,-0.9394059127297918
TRAIN_SPEED_ACTUAL,-0.9314281259115292,0.2718857343532826,-0.10454034288884256,0.30142393193027656,-0.9394059127297918,1.0
