date,row_count,duplicate_timestamps,gap_count_gt5x_median,max_gap_seconds,median_cadence_seconds
2025-02-17,63281,0,193,103456.0,1.0
2025-02-18,18021,0,193,103456.0,1.0
2025-02-19,586,0,193,103456.0,1.0
2025-02-20,29532,0,193,103456.0,1.0
2025-02-21,47347,0,193,103456.0,1.0
2025-02-22,79094,0,193,103456.0,1.0
2025-02-23,70000,0,193,103456.0,1.0
2025-02-24,52720,0,193,103456.0,1.0
