lag_min,early_CW1_dP_vs_comp,late_CW1_dP_vs_comp,early_CW2_comp_vs_speed,late_CW2_comp_vs_speed
-30,0.002324098455823255,0.008116366534778544,0.31755488984125013,0.14432392980444878
-29,-0.009598340872279775,0.005843308404814567,0.31296136360383553,0.12258280237128029
-28,-0.02814404094857703,-0.004319866483076008,0.3068623214591219,0.11926392150785552
-27,-0.053915317389298174,-0.013331410535950518,0.30148998620429684,0.1210485930739773
-26,-0.05978539681288847,-0.02432308325527416,0.3055237842644741,0.12452800411896271
-25,-0.015279736508085614,-0.03289116976554717,0.3095606965221029,0.13073367059746385
-24,-0.015947338499523362,-0.04676745825503609,0.30355345992765015,0.13693500286284765
-23,-0.016905505082277585,-0.0638650110854302,0.29412987800596596,0.14046758464039816
-22,-0.043740022139514514,-0.08014383062787139,0.2894477708657319,0.13512392286198094
-21,-0.04232279777073097,-0.08725109762785103,0.2850409089710702,0.13183502558590898
-20,-0.03122221802108824,-0.08873900317146624,0.28399349759730813,0.12891270426354132
-19,-0.04393440262016359,-0.08400387598616396,0.2848520726236615,0.12858500985028454
-18,-0.04204073272889504,-0.09000973665821377,0.28801601417485295,0.12574085775674382
-17,-0.03905336466074303,-0.09580023673779241,0.28504710152969437,0.12314438517977412
-16,-0.04133513156311253,-0.10307650627598684,0.2860577851093098,0.12014176068698573
-15,-0.03443025613935071,-0.1069056799472447,0.2877178285071812,0.11713285238872817
-14,0.003050562606496585,-0.11436008829058748,0.2830712679444486,0.11087850513427458
-13,0.013220144604727722,-0.11758586927196994,0.27783280299038726,0.1039832363061659
-12,0.021947460297837278,-0.1183778078603909,0.27633887216859615,0.10592974745408332
-11,-0.02178665005511528,-0.12232485384888236,0.2842857133109375,0.12071137547523196
-10,-0.02786021529769505,-0.13085185867267965,0.2884167642172014,0.13083304758272468
-9,0.004248019892759471,-0.12656830662543686,0.2932621367693731,0.14831374467954384
-8,0.008115392141319143,-0.1395202211208871,0.30345926529258965,0.17957438208057871
-7,0.018304594448774626,-0.13286592219647228,0.3225895868112708,0.21916160838210352
-6,0.021571031385309546,-0.10675895094839118,0.34012935675346545,0.25574398897412753
-5,0.01658836900636439,-0.06382240678866238,0.3549889598237234,0.288273949973359
-4,0.029783602430360906,0.019538821227168712,0.3606245003112472,0.3126212960051761
-3,0.07910232835276344,0.09621337669133224,0.36988873834434466,0.3163486296356377
-2,0.14285420941846144,0.19623707450882524,0.37766859358303495,0.2950689404838407
-1,0.2235127156238698,0.2997572779826769,0.3735150013452282,0.25801152185601206
0,0.19250575621265875,0.26961620070539055,0.35908833002001067,0.21695786262628225
1,0.10896188223203745,0.22045826718013545,0.3367333129141239,0.1829319723375334
2,0.05442073113154739,0.16665377110715662,0.3235641852187756,0.15653474367225392
3,0.0018602476182714948,0.10658004070151166,0.32662614039299137,0.13844365393519725
4,-0.02251531149864931,0.06135981896564109,0.3279852153617875,0.12153747894614993
5,-0.02259059583486065,0.021474956165259806,0.32470313664094447,0.11398785620928327
6,-0.023232526655546627,-0.0016552395987124323,0.3263355691347545,0.11870965277694152
7,-0.031969991402961744,-0.015846193218048508,0.33085539201748826,0.12506298586846343
8,-0.035202165873761945,-0.020827985811449644,0.33967076053422085,0.12581908514004195
9,-0.039930167737737186,-0.024279079152426216,0.3438675937912244,0.12803292214007606
10,-0.02031941304303708,-0.01640721799315239,0.34364357517489696,0.13135458311560091
11,-0.02323901029435303,-0.009473182087110827,0.34935082048801386,0.1351415214105826
12,-0.03650674430138357,-0.008806119147317854,0.3501258861656927,0.1401229003441011
13,-0.036636291938884465,-0.00625330412002978,0.34619633190766974,0.13957732253420094
14,-0.03930181201598547,-0.007967789670841337,0.3394947632323445,0.13363370991976034
15,-0.04062116146925864,-0.009398265078203145,0.33685918313175106,0.1306622143453115
16,-0.04265915585406332,-0.004441630585616764,0.33288612164082537,0.1283741917793135
17,-0.04327500026630968,0.008874897319968206,0.33235506874494475,0.1248086181855492
18,-0.04504882864841556,0.028969306136224827,0.3292982059759634,0.1164446835298092
19,-0.0391080920167825,0.0287553840265729,0.33091173373542204,0.11217893638580143
20,-0.0390969919849292,0.027344571037551883,0.33100026724969195,0.11369843555528328
21,-0.021458224227677698,0.030299524235922966,0.3260597173783931,0.11564904939541637
22,-0.014964047593172776,0.03329103615665081,0.3215127302284414,0.11542673964995095
23,-0.014219092475998384,0.03209391318211447,0.3210773304580156,0.12632458696799398
24,-0.01011279549210219,0.03729907972590118,0.3203836807023802,0.14827941719028934
25,-0.0053315951101265595,0.041102370312355405,0.32327929783426207,0.17312041871044292
26,0.00442192992137638,0.03986888554584899,0.3225582071637261,0.1951897826298251
27,0.012907859222366123,0.03270018664178448,0.33236602358390155,0.20903238591621154
28,0.02476974783904914,0.029905169685323432,0.3355664569261727,0.2161211198717706
29,0.03285451382468121,0.012362001216558184,0.3307999038250882,0.22123329011748805
30,0.03231537413238357,-0.004780027252377622,0.32321952915432467,0.21461738464401606
